"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00000000e+00,0.00000000e+00,0.00000000e+00,5.00000000e-01,0.00000000e+00,0.00000000e+00
-4.09370940e-03,1.54986865e-05,0.00000000e+00,5.00000000e-01,1.00000005e-03,0.00000000e+00
-8.18741880e-03,3.09973730e-05,0.00000000e+00,5.00000000e-01,2.00000009e-03,0.00000000e+00
-1.22811282e-02,4.64960576e-05,0.00000000e+00,5.00000000e-01,3.00000003e-03,0.00000000e+00
-1.63748376e-02,6.19947459e-05,0.00000000e+00,5.00000000e-01,4.00000019e-03,0.00000000e+00
-2.03875322e-02,8.24901654e-05,0.00000000e+00,5.00000000e-01,4.99999989e-03,0.00000000e+00
-2.42754277e-02,1.10683119e-04,0.00000000e+00,5.00000000e-01,6.00000005e-03,0.00000000e+00
-2.81633232e-02,1.38876072e-04,0.00000000e+00,5.00000000e-01,7.00000022e-03,0.00000000e+00
-3.20512168e-02,1.67069025e-04,0.00000000e+00,5.00000000e-01,8.00000038e-03,0.00000000e+00
-3.59391086e-02,1.95261950e-04,0.00000000e+00,5.00000000e-01,8.99999961e-03,0.00000000e+00
-3.97146158e-02,2.30283171e-04,0.00000000e+00,5.00000000e-01,9.99999978e-03,0.00000000e+00
-4.34309468e-02,2.68900010e-04,0.00000000e+00,5.00000000e-01,1.09999999e-02,0.00000000e+00
-4.71472740e-02,3.07516835e-04,0.00000000e+00,5.00000000e-01,1.20000001e-02,0.00000000e+00
-5.08636013e-02,3.46133660e-04,0.00000000e+00,5.00000000e-01,1.30000003e-02,0.00000000e+00
-5.45799285e-02,3.84750514e-04,0.00000000e+00,5.00000000e-01,1.40000004e-02,0.00000000e+00
-5.81662282e-02,4.24291182e-04,0.00000000e+00,5.00000000e-01,1.49999997e-02,0.00000000e+00
-6.17159717e-02,4.64091747e-04,0.00000000e+00,5.00000000e-01,1.60000008e-02,0.00000000e+00
-6.52657151e-02,5.03892254e-04,0.00000000e+00,5.00000000e-01,1.70000009e-02,0.00000000e+00
-6.88154474e-02,5.43692673e-04,0.00000000e+00,5.00000000e-01,1.79999992e-02,0.00000000e+00
-7.23651946e-02,5.83493209e-04,0.00000000e+00,5.00000000e-01,1.89999994e-02,0.00000000e+00
