"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.00000000e-01,0.00000000e+00
2.49384138e-05,7.33312126e-03,0.00000000e+00,1.00000005e-03,5.00000000e-01,0.00000000e+00
4.98768277e-05,1.46662425e-02,0.00000000e+00,2.00000009e-03,5.00000000e-01,0.00000000e+00
7.48152379e-05,2.19993629e-02,0.00000000e+00,3.00000003e-03,5.00000000e-01,0.00000000e+00
9.97536554e-05,2.93324850e-02,0.00000000e+00,4.00000019e-03,5.00000000e-01,0.00000000e+00
1.32158413e-04,3.64393257e-02,0.00000000e+00,4.99999989e-03,5.00000000e-01,0.00000000e+00
1.76065150e-04,4.31975909e-02,0.00000000e+00,6.00000005e-03,5.00000000e-01,0.00000000e+00
2.19971887e-04,4.99558561e-02,0.00000000e+00,7.00000022e-03,5.00000000e-01,0.00000000e+00
2.63878610e-04,5.67141213e-02,0.00000000e+00,8.00000038e-03,5.00000000e-01,0.00000000e+00
3.07785318e-04,6.34723827e-02,0.00000000e+00,8.99999961e-03,5.00000000e-01,0.00000000e+00
3.60587408e-04,6.98834658e-02,0.00000000e+00,9.99999978e-03,5.00000000e-01,0.00000000e+00
4.18073585e-04,7.61117339e-02,0.00000000e+00,1.09999999e-02,5.00000000e-01,0.00000000e+00
4.75559791e-04,8.23400095e-02,0.00000000e+00,1.20000001e-02,5.00000000e-01,0.00000000e+00
5.33045968e-04,8.85682777e-02,0.00000000e+00,1.30000003e-02,5.00000000e-01,0.00000000e+00
5.90532145e-04,9.47965458e-02,0.00000000e+00,1.40000004e-02,5.00000000e-01,0.00000000e+00
6.45463646e-04,1.00605957e-01,0.00000000e+00,1.49999997e-02,5.00000000e-01,0.00000000e+00
6.99676923e-04,1.06297605e-01,0.00000000e+00,1.60000008e-02,5.00000000e-01,0.00000000e+00
7.53890083e-04,1.11989245e-01,0.00000000e+00,1.70000009e-02,5.00000000e-01,0.00000000e+00
8.08103243e-04,1.17680877e-01,0.00000000e+00,1.79999992e-02,5.00000000e-01,0.00000000e+00
8.62316403e-04,1.23372518e-01,0.00000000e+00,1.89999994e-02,5.00000000e-01,0.00000000e+00
9.03197681e-04,1.28651917e-01,0.00000000e+00,1.99999996e-02,5.00000000e-01,0.00000000e+00
9.40008787e-04,1.33805439e-01,0.00000000e+00,2.09999997e-02,5.00000000e-01,0.00000000e+00
9.76819778e-04,1.38958976e-01,0.00000000e+00,2.19999999e-02,5.00000000e-01,0.00000000e+00
1.01363088e-03,1.44112512e-01,0.00000000e+00,2.30000000e-02,5.00000000e-01,0.00000000e+00
1.05044188e-03,1.49266034e-01,0.00000000e+00,2.40000002e-02,5.00000000e-01,0.00000000e+00
1.06996449e-03,1.54096931e-01,0.00000000e+00,2.50000004e-02,5.00000000e-01,0.00000000e+00
1.07833114e-03,1.58719614e-01,0.00000000e+00,2.60000005e-02,5.00000000e-01,0.00000000e+00
1.08669780e-03,1.63342297e-01,0.00000000e+00,2.70000007e-02,5.00000000e-01,0.00000000e+00
1.09506445e-03,1.67964980e-01,0.00000000e+00,2.80000009e-02,5.00000000e-01,0.00000000e+00
1.10343099e-03,1.72587663e-01,0.00000000e+00,2.89999992e-02,5.00000000e-01,0.00000000e+00
1.10072363e-03,1.77055761e-01,0.00000000e+00,2.99999993e-02,5.00000000e-01,0.00000000e+00
1.07235648e-03,1.81165695e-01,0.00000000e+00,3.09999995e-02,5.00000000e-01,0.00000000e+00
1.04398944e-03,1.85275644e-01,0.00000000e+00,3.20000015e-02,5.00000000e-01,0.00000000e+00
1.01562240e-03,1.89385578e-01,0.00000000e+00,3.29999998e-02,5.00000000e-01,0.00000000e+00
9.87255247e-04,1.93495527e-01,0.00000000e+00,3.40000018e-02,5.00000000e-01,0.00000000e+00
9.58888268e-04,1.97605461e-01,0.00000000e+00,3.50000001e-02,5.00000000e-01,0.00000000e+00
8.95112695e-04,2.01307967e-01,0.00000000e+00,3.59999985e-02,5.00000000e-01,0.00000000e+00
8.24736024e-04,2.04934537e-01,0.00000000e+00,3.70000005e-02,5.00000000e-01,0.00000000e+00
7.54359527e-04,2.08561093e-01,0.00000000e+00,3.79999988e-02,5.00000000e-01,0.00000000e+00
6.83982857e-04,2.12187648e-01,0.00000000e+00,3.90000008e-02,5.00000000e-01,0.00000000e+00
6.13606418e-04,2.15814203e-01,0.00000000e+00,3.99999991e-02,5.00000000e-01,0.00000000e+00
5.33197832e-04,2.19339848e-01,0.00000000e+00,4.10000011e-02,5.00000000e-01,0.00000000e+00
4.18751180e-04,2.22523019e-01,0.00000000e+00,4.19999994e-02,5.00000000e-01,0.00000000e+00
3.04304151e-04,2.25706220e-01,0.00000000e+00,4.30000015e-02,5.00000000e-01,0.00000000e+00
1.89857543e-04,2.28889391e-01,0.00000000e+00,4.39999998e-02,5.00000000e-01,0.00000000e+00
7.54105058e-05,2.32072577e-01,0.00000000e+00,4.50000018e-02,5.00000000e-01,0.00000000e+00
-3.90361092e-05,2.35255763e-01,0.00000000e+00,4.60000001e-02,5.00000000e-01,0.00000000e+00
-1.72905624e-04,2.38260582e-01,0.00000000e+00,4.69999984e-02,5.00000000e-01,0.00000000e+00
-3.30394309e-04,2.41048515e-01,0.00000000e+00,4.80000004e-02,5.00000000e-01,0.00000000e+00
-4.87882411e-04,2.43836448e-01,0.00000000e+00,4.89999987e-02,5.00000000e-01,0.00000000e+00
-6.45371096e-04,2.46624395e-01,0.00000000e+00,5.00000007e-02,5.00000000e-01,0.00000000e+00
-8.02859198e-04,2.49412328e-01,0.00000000e+00,5.09999990e-02,5.00000000e-01,0.00000000e+00
-9.60347883e-04,2.52200276e-01,0.00000000e+00,5.20000011e-02,5.00000000e-01,0.00000000e+00
-1.13787246e-03,2.54813671e-01,0.00000000e+00,5.29999994e-02,5.00000000e-01,0.00000000e+00
-1.33471505e-03,2.57258803e-01,0.00000000e+00,5.40000014e-02,5.00000000e-01,0.00000000e+00
-1.53155695e-03,2.59703934e-01,0.00000000e+00,5.49999997e-02,5.00000000e-01,0.00000000e+00
-1.72839954e-03,2.62149066e-01,0.00000000e+00,5.60000017e-02,5.00000000e-01,0.00000000e+00
-1.92524143e-03,2.64594197e-01,0.00000000e+00,5.70000000e-02,5.00000000e-01,0.00000000e+00
-2.12208345e-03,2.67039329e-01,0.00000000e+00,5.79999983e-02,5.00000000e-01,0.00000000e+00
