TimeStep,Time,"U:0","U:1","U:2","Points:0","Points:1","Points:2"
100,1.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,1.32419184e-04,3.65111269e-02,0.00000000e+00,4.99999989e-03,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,3.61178070e-04,7.00193942e-02,0.00000000e+00,9.99999978e-03,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,6.46271859e-04,1.00798622e-01,0.00000000e+00,1.49999997e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,9.03870619e-04,1.28894374e-01,0.00000000e+00,1.99999996e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,1.06998731e-03,1.54382408e-01,0.00000000e+00,2.50000004e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,1.09948905e-03,1.77377865e-01,0.00000000e+00,2.99999993e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,9.55734169e-04,1.97958246e-01,0.00000000e+00,3.50000001e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,6.07859285e-04,2.16192544e-01,0.00000000e+00,3.99999991e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,6.65175030e-05,2.32472762e-01,0.00000000e+00,4.50000018e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.57861296e-04,2.47043326e-01,0.00000000e+00,5.00000007e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.54798815e-03,2.60139465e-01,0.00000000e+00,5.49999997e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.58337823e-03,2.71975577e-01,0.00000000e+00,5.99999987e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.74308415e-03,2.82740206e-01,0.00000000e+00,6.49999976e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.03341621e-03,2.92326659e-01,0.00000000e+00,7.00000003e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.39371900e-03,3.01188916e-01,0.00000000e+00,7.50000030e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.80385826e-03,3.09449553e-01,0.00000000e+00,7.99999982e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.25071351e-03,3.17187250e-01,0.00000000e+00,8.50000009e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.07234744e-02,3.24218810e-01,0.00000000e+00,9.00000036e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.21954102e-02,3.30833524e-01,0.00000000e+00,9.49999988e-02,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.36627667e-02,3.37079078e-01,0.00000000e+00,1.00000001e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.51103912e-02,3.42774659e-01,0.00000000e+00,1.04999997e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.65300108e-02,3.48000765e-01,0.00000000e+00,1.09999999e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.79285090e-02,3.52897793e-01,0.00000000e+00,1.15000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.92809198e-02,3.57166231e-01,0.00000000e+00,1.19999997e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.05970295e-02,3.60980123e-01,0.00000000e+00,1.25000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.18858402e-02,3.64452213e-01,0.00000000e+00,1.29999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.31077280e-02,3.67113054e-01,0.00000000e+00,1.35000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.43048538e-02,3.69476467e-01,0.00000000e+00,1.40000001e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.54475623e-02,3.71187270e-01,0.00000000e+00,1.44999996e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.65458580e-02,3.72367740e-01,0.00000000e+00,1.50000006e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.76096631e-02,3.73136431e-01,0.00000000e+00,1.55000001e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.86090989e-02,3.73141468e-01,0.00000000e+00,1.59999996e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-2.95921359e-02,3.72951955e-01,0.00000000e+00,1.65000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.04957405e-02,3.71829122e-01,0.00000000e+00,1.70000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.13888788e-02,3.70584726e-01,0.00000000e+00,1.74999997e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.22113335e-02,3.68521303e-01,0.00000000e+00,1.80000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.30193602e-02,3.66294056e-01,0.00000000e+00,1.85000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.37655358e-02,3.63363862e-01,0.00000000e+00,1.89999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.44966613e-02,3.60266775e-01,0.00000000e+00,1.94999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.51716839e-02,3.56547385e-01,0.00000000e+00,2.00000003e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.58353034e-02,3.52705598e-01,0.00000000e+00,2.04999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.64459455e-02,3.48295212e-01,0.00000000e+00,2.09999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.70518416e-02,3.43836039e-01,0.00000000e+00,2.15000004e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.76062393e-02,3.38847935e-01,0.00000000e+00,2.19999999e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.81606407e-02,3.33859831e-01,0.00000000e+00,2.24999994e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.86711657e-02,3.28447610e-01,0.00000000e+00,2.30000004e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.91784720e-02,3.23004276e-01,0.00000000e+00,2.34999999e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-3.96588184e-02,3.17323685e-01,0.00000000e+00,2.39999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.01285328e-02,3.11549425e-01,0.00000000e+00,2.45000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.05858085e-02,3.05682153e-01,0.00000000e+00,2.50000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.10271846e-02,2.99695909e-01,0.00000000e+00,2.54999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.14666645e-02,2.93699592e-01,0.00000000e+00,2.59999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.18881774e-02,2.87607640e-01,0.00000000e+00,2.64999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.23096940e-02,2.81515628e-01,0.00000000e+00,2.70000011e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.27225418e-02,2.75411546e-01,0.00000000e+00,2.75000006e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.31313999e-02,2.69301921e-01,0.00000000e+00,2.80000001e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.35388200e-02,2.63202310e-01,0.00000000e+00,2.84999996e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.39406633e-02,2.57141560e-01,0.00000000e+00,2.89999992e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.43425067e-02,2.51080841e-01,0.00000000e+00,2.94999987e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.47423905e-02,2.45080665e-01,0.00000000e+00,3.00000012e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.51412350e-02,2.39112616e-01,0.00000000e+00,3.05000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.55400683e-02,2.33147964e-01,0.00000000e+00,3.10000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.59384695e-02,2.27294981e-01,0.00000000e+00,3.14999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.63368669e-02,2.21441999e-01,0.00000000e+00,3.19999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.67355624e-02,2.15628490e-01,0.00000000e+00,3.24999988e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.71348688e-02,2.09895074e-01,0.00000000e+00,3.30000013e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.75341678e-02,2.04161718e-01,0.00000000e+00,3.35000008e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.79342937e-02,1.98489636e-01,0.00000000e+00,3.40000004e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.83350866e-02,1.92867100e-01,0.00000000e+00,3.44999999e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.87358794e-02,1.87244564e-01,0.00000000e+00,3.49999994e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.91379276e-02,1.81687400e-01,0.00000000e+00,3.54999989e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.95405234e-02,1.76158726e-01,0.00000000e+00,3.60000014e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-4.99431156e-02,1.70630082e-01,0.00000000e+00,3.65000010e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.03474027e-02,1.65156946e-01,0.00000000e+00,3.70000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.07522263e-02,1.59701541e-01,0.00000000e+00,3.75000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.11570536e-02,1.54246151e-01,0.00000000e+00,3.79999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.15641607e-02,1.48829445e-01,0.00000000e+00,3.84999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.19720949e-02,1.43426731e-01,0.00000000e+00,3.89999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.23800291e-02,1.38023973e-01,0.00000000e+00,3.95000011e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.27908765e-02,1.32643089e-01,0.00000000e+00,4.00000006e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.32034710e-02,1.27275333e-01,0.00000000e+00,4.05000001e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.36160693e-02,1.21907577e-01,0.00000000e+00,4.09999996e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.40316217e-02,1.16548732e-01,0.00000000e+00,4.14999992e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.44511639e-02,1.11201905e-01,0.00000000e+00,4.19999987e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.48707061e-02,1.05855048e-01,0.00000000e+00,4.25000012e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.52915856e-02,1.00509666e-01,0.00000000e+00,4.30000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.57210371e-02,9.51735750e-02,0.00000000e+00,4.35000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.61504886e-02,8.98374841e-02,0.00000000e+00,4.39999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.65799437e-02,8.45013931e-02,0.00000000e+00,4.44999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.70194498e-02,7.91680142e-02,0.00000000e+00,4.49999988e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.74623197e-02,7.38354996e-02,0.00000000e+00,4.55000013e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.79051860e-02,6.85030222e-02,0.00000000e+00,4.60000008e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.83526455e-02,6.31700829e-02,0.00000000e+00,4.65000004e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.88126928e-02,5.78358732e-02,0.00000000e+00,4.69999999e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.92727363e-02,5.25016636e-02,0.00000000e+00,4.74999994e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-5.97327836e-02,4.71674539e-02,0.00000000e+00,4.79999989e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.02049120e-02,4.18551378e-02,0.00000000e+00,4.85000014e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.06825911e-02,3.65529358e-02,0.00000000e+00,4.90000010e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.11602701e-02,3.12507302e-02,0.00000000e+00,4.95000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.16379492e-02,2.59485245e-02,0.00000000e+00,5.00000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.21400736e-02,2.06354577e-02,0.00000000e+00,5.04999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.26421943e-02,1.53223891e-02,0.00000000e+00,5.09999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.31443188e-02,1.00093214e-02,0.00000000e+00,5.14999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.36560768e-02,4.67916252e-03,0.00000000e+00,5.19999981e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.41888008e-02,-6.88181783e-04,0.00000000e+00,5.24999976e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-6.47215173e-02,-6.05552644e-03,0.00000000e+00,5.29999971e-01,5.00000000e-01,0.00000000e+00
