Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0             	1.425894e-01	7.129471e-02	7.129471e-02	-1.490778e-18	-5.705614e-18	4.214836e-18	-4.960225e-18	-2.974100e-28	-2.840957e-22	1.027380e-20	4.852804e-21	5.420995e-21
0.05          	2.889492e+01	1.444746e+01	1.444746e+01	6.031043e-06	3.013807e-06	3.017235e-06	-1.713973e-09	-6.057671e-21	9.754193e-19	-4.158534e-19	7.674926e-19	-1.183346e-18
0.1           	1.250848e+00	6.254242e-01	6.254242e-01	-1.585376e-05	-7.967488e-06	-7.886277e-06	-4.060537e-08	4.417091e-21	4.073895e-20	1.598704e-19	1.206742e-19	3.919627e-20
0.15          	9.768657e-01	4.884328e-01	4.884328e-01	-1.810185e-06	-9.664408e-07	-8.437440e-07	-6.134839e-08	6.300237e-21	3.290928e-20	1.807126e-19	1.232656e-19	5.744700e-20
0.2           	9.188839e-01	4.594419e-01	4.594419e-01	-1.644549e-05	-8.215335e-06	-8.230158e-06	7.411683e-09	6.456523e-21	3.077445e-20	1.958898e-19	1.287194e-19	6.717047e-20
0.25          	9.119778e-01	4.559889e-01	4.559889e-01	-1.456676e-05	-7.338972e-06	-7.227787e-06	-5.559217e-08	6.072270e-21	3.074286e-20	2.014917e-19	1.314887e-19	7.000302e-20
0.3           	9.218041e-01	4.609021e-01	4.609021e-01	-1.908780e-05	-9.770781e-06	-9.317015e-06	-2.268831e-07	5.538529e-21	3.152203e-20	2.027362e-19	1.328902e-19	6.984609e-20
0.35          	9.355710e-01	4.677855e-01	4.677855e-01	-4.528377e-05	-2.277553e-05	-2.250824e-05	-1.336421e-07	5.280976e-21	3.261301e-20	2.031976e-19	1.342118e-19	6.898581e-20
0.4           	9.417446e-01	4.708723e-01	4.708723e-01	-2.680262e-05	-1.350437e-05	-1.329826e-05	-1.030570e-07	5.374273e-21	3.357939e-20	2.027879e-19	1.349733e-19	6.781456e-20
0.45          	9.452621e-01	4.726310e-01	4.726310e-01	-9.979331e-06	-5.071929e-06	-4.907402e-06	-8.226334e-08	5.798194e-21	3.404780e-20	2.017468e-19	1.349212e-19	6.682562e-20
0.5           	9.458825e-01	4.729412e-01	4.729412e-01	5.876383e-06	2.909144e-06	2.967239e-06	-2.904758e-08	6.695586e-21	3.487304e-20	2.006544e-19	1.352003e-19	6.545418e-20
0.55          	9.567917e-01	4.783958e-01	4.783958e-01	-3.136841e-05	-1.581599e-05	-1.555241e-05	-1.317888e-07	7.876761e-21	3.598555e-20	2.000150e-19	1.359931e-19	6.402196e-20
0.6           	9.681259e-01	4.840629e-01	4.840629e-01	-4.384905e-05	-2.211459e-05	-2.173446e-05	-1.900642e-07	9.142140e-21	3.700644e-20	1.991400e-19	1.365764e-19	6.256354e-20
0.65          	9.969768e-01	4.984884e-01	4.984884e-01	-4.489081e-05	-2.271660e-05	-2.217422e-05	-2.711910e-07	1.062463e-20	3.885956e-20	1.994964e-19	1.386077e-19	6.088862e-20
0.7           	1.018870e+00	5.094352e-01	5.094352e-01	-3.603737e-05	-1.832347e-05	-1.771390e-05	-3.047868e-07	1.192485e-20	4.022490e-20	1.990661e-19	1.397580e-19	5.930815e-20
0.75          	1.044368e+00	5.221839e-01	5.221839e-01	-4.422623e-05	-2.246986e-05	-2.175637e-05	-3.567425e-07	1.316523e-20	4.164427e-20	1.982825e-19	1.407855e-19	5.749699e-20
