Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0             	4.180066e+00	2.090033e+00	2.090033e+00	2.393918e-16	-7.615436e-16	1.000935e-15	-8.812395e-16	4.960917e-21	6.171668e-20	1.233799e-34	6.171668e-20	-6.171668e-20
0.5           	2.881361e+00	1.440681e+00	1.440681e+00	-1.207163e-07	-8.116038e-08	-3.955596e-08	-2.080221e-08	2.757929e-19	1.116456e-20	2.693589e-20	2.463250e-20	2.303392e-21
1             	2.415710e+00	1.207855e+00	1.207855e+00	1.848833e-07	7.254423e-08	1.123390e-07	-1.989739e-08	3.301322e-19	8.329547e-21	2.780777e-20	2.223343e-20	5.574339e-21
1.5           	2.472035e+00	1.236018e+00	1.236018e+00	-1.830114e-07	-1.559406e-07	-2.707076e-08	-6.443492e-08	3.867661e-19	7.215098e-21	2.784146e-20	2.113583e-20	6.705631e-21
2             	2.620725e+00	1.310362e+00	1.310362e+00	-2.393181e-08	-9.989314e-08	7.596133e-08	-8.792724e-08	4.354743e-19	6.632424e-21	2.775392e-20	2.050939e-20	7.244537e-21
2.5           	2.748059e+00	1.374029e+00	1.374029e+00	-3.041713e-07	-2.938207e-07	-1.035054e-08	-1.417351e-07	4.683389e-19	5.976820e-21	2.718225e-20	1.956795e-20	7.614306e-21
3             	2.814521e+00	1.407260e+00	1.407260e+00	-6.614367e-07	-4.259242e-07	-2.355126e-07	-9.520580e-08	4.835277e-19	5.213156e-21	2.624425e-20	1.833528e-20	7.908970e-21
3.5           	2.817870e+00	1.408935e+00	1.408935e+00	-3.402460e-07	-1.637783e-07	-1.764676e-07	6.344635e-09	4.845354e-19	4.440141e-21	2.517160e-20	1.702594e-20	8.145658e-21
4             	2.776918e+00	1.388459e+00	1.388459e+00	4.661346e-07	2.501206e-07	2.160139e-07	1.705337e-08	4.773751e-19	3.771440e-21	2.416990e-20	1.585639e-20	8.313510e-21
4.5           	2.717377e+00	1.358688e+00	1.358688e+00	1.765014e-06	9.286307e-07	8.363838e-07	4.612349e-08	4.676131e-19	3.244545e-21	2.333830e-20	1.491369e-20	8.424605e-21
5             	2.654923e+00	1.327462e+00	1.327462e+00	2.367142e-06	1.503086e-06	8.640555e-07	3.195153e-07	4.582260e-19	2.865375e-21	2.268166e-20	1.420621e-20	8.475454e-21
5.5           	2.599266e+00	1.299633e+00	1.299633e+00	2.923054e-06	1.805027e-06	1.118027e-06	3.435000e-07	4.503503e-19	2.598740e-21	2.216887e-20	1.368318e-20	8.485697e-21
6             	2.551452e+00	1.275726e+00	1.275726e+00	5.103693e-06	2.878007e-06	2.225685e-06	3.261610e-07	4.438240e-19	2.401184e-21	2.175003e-20	1.327620e-20	8.473831e-21
6.5           	2.510176e+00	1.255088e+00	1.255088e+00	5.697663e-06	3.194872e-06	2.502791e-06	3.460404e-07	4.382860e-19	2.241611e-21	2.138389e-20	1.293356e-20	8.450334e-21
7             	2.473441e+00	1.236720e+00	1.236720e+00	6.366303e-06	3.691518e-06	2.674785e-06	5.083665e-07	4.333878e-19	2.094815e-21	2.103398e-20	1.261180e-20	8.422173e-21
7.5           	2.440708e+00	1.220354e+00	1.220354e+00	7.325973e-06	4.060473e-06	3.265500e-06	3.974867e-07	4.289330e-19	1.958081e-21	2.070302e-20	1.230959e-20	8.393430e-21
8             	2.410483e+00	1.205241e+00	1.205241e+00	7.856768e-06	4.412933e-06	3.443835e-06	4.845486e-07	4.247490e-19	1.824456e-21	2.037093e-20	1.200992e-20	8.361011e-21
8.5           	2.382815e+00	1.191408e+00	1.191408e+00	9.536448e-06	5.260266e-06	4.276182e-06	4.920420e-07	4.208288e-19	1.689774e-21	2.003399e-20	1.170677e-20	8.327223e-21
9             	2.358800e+00	1.179400e+00	1.179400e+00	9.397558e-06	5.051670e-06	4.345888e-06	3.528913e-07	4.172151e-19	1.557452e-21	1.972061e-20	1.141776e-20	8.302854e-21
9.5           	2.336565e+00	1.168282e+00	1.168282e+00	1.035563e-05	5.486621e-06	4.869005e-06	3.088081e-07	4.137766e-19	1.419679e-21	1.939513e-20	1.111724e-20	8.277885e-21
10            	2.317062e+00	1.158531e+00	1.158531e+00	1.038198e-05	5.401259e-06	4.980721e-06	2.102691e-07	4.105248e-19	1.283395e-21	1.908665e-20	1.082672e-20	8.259929e-21
10.5          	2.297921e+00	1.148961e+00	1.148961e+00	1.008832e-05	5.118067e-06	4.970253e-06	7.390706e-08	4.073689e-19	1.142289e-21	1.875756e-20	1.052107e-20	8.236492e-21
11            	2.281790e+00	1.140895e+00	1.140895e+00	1.039243e-05	5.038063e-06	5.354362e-06	-1.581495e-07	4.044463e-19	1.012121e-21	1.847082e-20	1.024753e-20	8.223287e-21
11.5          	2.265353e+00	1.132677e+00	1.132677e+00	9.894006e-06	4.974192e-06	4.919814e-06	2.718890e-08	4.015641e-19	8.807801e-22	1.815870e-20	9.960132e-21	8.198571e-21
12            	2.250244e+00	1.125122e+00	1.125122e+00	8.951573e-06	4.346003e-06	4.605570e-06	-1.297835e-07	3.988114e-19	7.602352e-22	1.788113e-20	9.700800e-21	8.180330e-21
12.5          	2.236039e+00	1.118019e+00	1.118019e+00	7.949787e-06	3.929488e-06	4.020299e-06	-4.540571e-08	3.961905e-19	6.464604e-22	1.760968e-20	9.451301e-21	8.158380e-21
13            	2.222371e+00	1.111185e+00	1.111185e+00	6.500971e-06	3.106510e-06	3.394461e-06	-1.439755e-07	3.936824e-19	5.395333e-22	1.735599e-20	9.217529e-21	8.138462e-21
13.5          	2.209567e+00	1.104784e+00	1.104784e+00	4.753913e-06	2.286252e-06	2.467661e-06	-9.070477e-08	3.912923e-19	4.412390e-22	1.711644e-20	8.999460e-21	8.116982e-21
14            	2.197179e+00	1.098590e+00	1.098590e+00	3.261305e-06	1.376545e-06	1.884760e-06	-2.541073e-07	3.890155e-19	3.472561e-22	1.688359e-20	8.789050e-21	8.094537e-21
14.5          	2.185905e+00	1.092952e+00	1.092952e+00	1.906639e-06	7.026437e-07	1.203995e-06	-2.506758e-07	3.868648e-19	2.609541e-22	1.666782e-20	8.594863e-21	8.072955e-21
15            	2.174973e+00	1.087487e+00	1.087487e+00	-1.164132e-06	-7.557271e-07	-4.084049e-07	-1.736611e-07	3.848290e-19	1.798468e-22	1.646734e-20	8.413516e-21	8.053823e-21
15.5          	2.164517e+00	1.082259e+00	1.082259e+00	-3.222235e-06	-1.824909e-06	-1.397327e-06	-2.137910e-07	3.828964e-19	1.032429e-22	1.627091e-20	8.238699e-21	8.032213e-21
16            	2.154907e+00	1.077454e+00	1.077454e+00	-5.513822e-06	-3.017811e-06	-2.496012e-06	-2.608996e-07	3.810599e-19	3.284606e-23	1.608217e-20	8.073929e-21	8.008236e-21
16.5          	2.145517e+00	1.072759e+00	1.072759e+00	-7.707786e-06	-4.105284e-06	-3.602502e-06	-2.513912e-07	3.793136e-19	-3.549582e-23	1.590012e-20	7.914566e-21	7.985558e-21
17            	2.136974e+00	1.068487e+00	1.068487e+00	-9.638939e-06	-5.188068e-06	-4.450871e-06	-3.685983e-07	3.776870e-19	-9.809543e-23	1.573978e-20	7.771796e-21	7.967987e-21
17.5          	2.128492e+00	1.064246e+00	1.064246e+00	-1.094895e-05	-5.763221e-06	-5.185731e-06	-2.887453e-07	3.761029e-19	-1.582376e-22	1.556842e-20	7.625972e-21	7.942448e-21
18            	2.120518e+00	1.060259e+00	1.060259e+00	-1.285002e-05	-6.616539e-06	-6.233480e-06	-1.915296e-07	3.746114e-19	-2.150947e-22	1.541235e-20	7.491078e-21	7.921268e-21
18.5          	2.113090e+00	1.056545e+00	1.056545e+00	-1.390414e-05	-7.224554e-06	-6.679589e-06	-2.724829e-07	3.732002e-19	-2.673576e-22	1.526920e-20	7.367242e-21	7.901957e-21
19            	2.105730e+00	1.052865e+00	1.052865e+00	-1.463853e-05	-7.371033e-06	-7.267495e-06	-5.176894e-08	3.718129e-19	-3.193959e-22	1.511244e-20	7.236826e-21	7.875618e-21
19.5          	2.099132e+00	1.049566e+00	1.049566e+00	-1.441940e-05	-7.152902e-06	-7.266500e-06	5.679909e-08	3.705090e-19	-3.659370e-22	1.497638e-20	7.122255e-21	7.854129e-21
20            	2.092560e+00	1.046280e+00	1.046280e+00	-1.405739e-05	-6.991094e-06	-7.066299e-06	3.760242e-08	3.692488e-19	-4.114176e-22	1.484586e-20	7.011513e-21	7.834348e-21
20.5          	2.085888e+00	1.042944e+00	1.042944e+00	-1.335391e-05	-6.516696e-06	-6.837211e-06	1.602572e-07	3.680011e-19	-4.560251e-22	1.470562e-20	6.896786e-21	7.808836e-21
21            	2.079836e+00	1.039918e+00	1.039918e+00	-1.158613e-05	-5.653232e-06	-5.932895e-06	1.398317e-07	3.668224e-19	-4.962812e-22	1.458410e-20	6.795770e-21	7.788332e-21
21.5          	2.074094e+00	1.037047e+00	1.037047e+00	-9.344305e-06	-4.517943e-06	-4.826362e-06	1.542093e-07	3.656789e-19	-5.342551e-22	1.446541e-20	6.698451e-21	7.766961e-21
22            	2.068114e+00	1.034057e+00	1.034057e+00	-6.793637e-06	-3.096026e-06	-3.697611e-06	3.007928e-07	3.645438e-19	-5.727482e-22	1.433815e-20	6.596324e-21	7.741821e-21
22.5          	2.062612e+00	1.031306e+00	1.031306e+00	-3.939237e-06	-1.371955e-06	-2.567282e-06	5.976632e-07	3.634673e-19	-6.077478e-22	1.422780e-20	6.506152e-21	7.721648e-21
23            	2.057205e+00	1.028603e+00	1.028603e+00	-1.417292e-06	-2.953515e-07	-1.121941e-06	4.132947e-07	3.624223e-19	-6.423975e-22	1.412022e-20	6.417714e-21	7.702509e-21
23.5          	2.052209e+00	1.026105e+00	1.026105e+00	2.248368e-06	1.531134e-06	7.172337e-07	4.069503e-07	3.614223e-19	-6.733682e-22	1.402137e-20	6.337319e-21	7.684055e-21
24            	2.047067e+00	1.023534e+00	1.023534e+00	6.270869e-06	3.439716e-06	2.831154e-06	3.042810e-07	3.604217e-19	-7.059331e-22	1.390915e-20	6.248643e-21	7.660510e-21
24.5          	2.042285e+00	1.021142e+00	1.021142e+00	9.318473e-06	4.937558e-06	4.380915e-06	2.783213e-07	3.594798e-19	-7.350396e-22	1.381362e-20	6.171771e-21	7.641850e-21
25            	2.037667e+00	1.018833e+00	1.018833e+00	1.430627e-05	7.443750e-06	6.862519e-06	2.906153e-07	3.585696e-19	-7.636746e-22	1.371968e-20	6.096167e-21	7.623517e-21
25.5          	2.033144e+00	1.016572e+00	1.016572e+00	1.689659e-05	8.575669e-06	8.320916e-06	1.273762e-07	3.576869e-19	-7.916384e-22	1.362591e-20	6.021318e-21	7.604595e-21
26            	2.028922e+00	1.014461e+00	1.014461e+00	1.917255e-05	9.844490e-06	9.328062e-06	2.582138e-07	3.568389e-19	-8.172593e-22	1.353779e-20	5.951638e-21	7.586156e-21
26.5          	2.024920e+00	1.012460e+00	1.012460e+00	2.131038e-05	1.065482e-05	1.065556e-05	-3.683485e-10	3.560260e-19	-8.419190e-22	1.345498e-20	5.885569e-21	7.569407e-21
27            	2.020955e+00	1.010478e+00	1.010478e+00	2.197518e-05	1.116500e-05	1.081017e-05	1.774151e-07	3.552388e-19	-8.653966e-22	1.337435e-20	5.821778e-21	7.552571e-21
27.5          	2.017130e+00	1.008565e+00	1.008565e+00	2.224461e-05	1.100568e-05	1.123894e-05	-1.166290e-07	3.544703e-19	-8.890108e-22	1.329112e-20	5.756550e-21	7.534571e-21
28            	2.013422e+00	1.006711e+00	1.006711e+00	2.262955e-05	1.105881e-05	1.157075e-05	-2.559716e-07	3.537318e-19	-9.108811e-22	1.321394e-20	5.696091e-21	7.517853e-21
28.5          	2.009891e+00	1.004946e+00	1.004946e+00	2.053252e-05	9.901143e-06	1.063138e-05	-3.651172e-07	3.530186e-19	-9.317653e-22	1.314044e-20	5.638455e-21	7.501986e-21
29            	2.006487e+00	1.003244e+00	1.003244e+00	1.851187e-05	8.894642e-06	9.617224e-06	-3.612911e-07	3.523281e-19	-9.514446e-22	1.306896e-20	5.583036e-21	7.485926e-21
29.5          	2.003162e+00	1.001581e+00	1.001581e+00	1.439665e-05	6.717185e-06	7.679464e-06	-4.811393e-07	3.516528e-19	-9.705859e-22	1.299633e-20	5.527581e-21	7.468752e-21
30            	2.000073e+00	1.000036e+00	1.000036e+00	1.162480e-05	5.160090e-06	6.464714e-06	-6.523121e-07	3.510131e-19	-9.882910e-22	1.293356e-20	5.478488e-21	7.455070e-21
30.5          	1.996906e+00	9.984530e-01	9.984530e-01	5.559389e-06	1.960946e-06	3.598443e-06	-8.187483e-07	3.503768e-19	-1.005488e-21	1.286510e-20	5.427062e-21	7.438038e-21
31            	1.993893e+00	9.969463e-01	9.969463e-01	-1.640789e-06	-1.686198e-06	4.540925e-08	-8.658037e-07	3.497657e-19	-1.022506e-21	1.280253e-20	5.378757e-21	7.423770e-21
31.5          	1.991072e+00	9.955359e-01	9.955359e-01	-7.465058e-06	-4.611105e-06	-2.853953e-06	-8.785756e-07	3.491838e-19	-1.037742e-21	1.274644e-20	5.335477e-21	7.410962e-21
32            	1.988200e+00	9.941001e-01	9.941001e-01	-1.239988e-05	-6.988911e-06	-5.410966e-06	-7.889729e-07	3.485992e-19	-1.053495e-21	1.268207e-20	5.287540e-21	7.394531e-21
32.5          	1.985555e+00	9.927774e-01	9.927774e-01	-2.149145e-05	-1.159233e-05	-9.899121e-06	-8.466052e-07	3.480524e-19	-1.067259e-21	1.262983e-20	5.247655e-21	7.382174e-21
