# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0             	1.045016e-01	5.225082e-02	5.225082e-02	7.155734e-18	-1.257675e-17	1.973248e-17	-1.615461e-17	1.240229e-22	1.542917e-21	2.633107e-36	1.542917e-21	-1.542917e-21
0.5           	8.121585e-01	4.060793e-01	4.060793e-01	-6.007654e-07	-3.024094e-07	-2.983561e-07	-2.026659e-09	1.349449e-19	-3.487720e-21	-2.654766e-20	-1.676155e-20	-9.786113e-21
1             	1.101589e+00	5.507946e-01	5.507946e-01	-1.988219e-06	-9.949579e-07	-9.932608e-07	-8.485719e-10	4.646884e-19	-4.440843e-21	-2.482273e-20	-1.685221e-20	-7.970522e-21
1.5           	1.697251e+00	8.486257e-01	8.486257e-01	-4.503474e-07	-2.266378e-07	-2.237096e-07	-1.464124e-09	8.121176e-19	-5.762851e-21	-2.230359e-20	-1.691465e-20	-5.388945e-21
2             	2.582248e+00	1.291124e+00	1.291124e+00	-8.542797e-09	-4.163774e-09	-4.379023e-09	1.076249e-10	9.619311e-19	-6.905345e-21	-1.696571e-20	-1.538820e-20	-1.577508e-21
2.5           	3.293031e+00	1.646515e+00	1.646515e+00	-6.063927e-07	-2.934835e-07	-3.129091e-07	9.712810e-09	1.128360e-18	-7.418649e-21	-1.099597e-20	-1.291663e-20	1.920664e-21
3             	3.278697e+00	1.639349e+00	1.639349e+00	-5.828606e-07	-2.901534e-07	-2.927073e-07	1.276959e-09	1.070375e-18	-9.341890e-21	-1.007813e-20	-1.438095e-20	4.302825e-21
3.5           	2.930194e+00	1.465097e+00	1.465097e+00	-1.474251e-06	-7.398511e-07	-7.343996e-07	-2.725755e-09	7.894449e-19	-1.132369e-20	-1.055100e-20	-1.659919e-20	6.048194e-21
4             	2.655284e+00	1.327642e+00	1.327642e+00	-4.345352e-07	-2.152874e-07	-2.192478e-07	1.980186e-09	5.611256e-19	-1.216173e-20	-9.376728e-21	-1.685009e-20	7.473365e-21
4.5           	2.639658e+00	1.319829e+00	1.319829e+00	-8.724981e-07	-4.359414e-07	-4.365567e-07	3.076243e-10	4.675729e-19	-1.228215e-20	-6.724237e-21	-1.564426e-20	8.920027e-21
5             	2.761134e+00	1.380567e+00	1.380567e+00	-1.802108e-07	-8.764183e-08	-9.256896e-08	2.463566e-09	4.905961e-19	-1.197679e-20	-4.495594e-21	-1.422459e-20	9.728998e-21
5.5           	2.737476e+00	1.368738e+00	1.368738e+00	-1.309269e-06	-6.538766e-07	-6.553929e-07	7.581461e-10	5.642670e-19	-1.128948e-20	-3.860585e-21	-1.321977e-20	9.359188e-21
6             	2.277437e+00	1.138718e+00	1.138718e+00	-6.659854e-07	-3.268511e-07	-3.391343e-07	6.141624e-09	5.492359e-19	-9.694377e-21	-4.479910e-21	-1.193433e-20	7.454422e-21
6.5           	1.589476e+00	7.947379e-01	7.947379e-01	-1.750532e-06	-8.704519e-07	-8.800799e-07	4.814018e-09	4.430302e-19	-7.566509e-21	-4.854601e-21	-9.993809e-21	5.139208e-21
7             	1.325455e+00	6.627273e-01	6.627273e-01	-1.034044e-06	-5.133852e-07	-5.206591e-07	3.636907e-09	3.500601e-19	-6.645257e-21	-3.596243e-21	-8.443378e-21	4.847135e-21
7.5           	1.659625e+00	8.298126e-01	8.298126e-01	-1.827591e-06	-9.107163e-07	-9.168748e-07	3.079251e-09	3.679504e-19	-7.107356e-21	-1.047984e-21	-7.631348e-21	6.583364e-21
8             	2.217557e+00	1.108779e+00	1.108779e+00	-2.211177e-06	-1.103869e-06	-1.107308e-06	1.719479e-09	5.184968e-19	-8.074812e-21	1.022512e-21	-7.563556e-21	8.586068e-21
8.5           	2.360451e+00	1.180226e+00	1.180226e+00	-2.629131e-06	-1.314177e-06	-1.314953e-06	3.879903e-10	6.176873e-19	-8.292472e-21	7.819822e-22	-7.901481e-21	8.683464e-21
9             	1.974083e+00	9.870416e-01	9.870416e-01	-2.720427e-06	-1.363520e-06	-1.356908e-06	-3.306011e-09	5.877486e-19	-7.589740e-21	-6.270838e-22	-7.903282e-21	7.276198e-21
9.5           	1.582675e+00	7.913374e-01	7.913374e-01	-3.164654e-06	-1.586757e-06	-1.577897e-06	-4.430053e-09	4.740685e-19	-6.764544e-21	-7.084725e-22	-7.118780e-21	6.410308e-21
